# onset(ms)	end(ms)	label
22941	22988	L0T22941M20L0_L1T22941M6L1_
22988	23034	L0T22988M20L0_
23034	23081	L0T23034M20L0_
23081	23127	L0T23081M20L0_
23127	23174	L0T23127M20L0_
23174	23220	L0T23174M20L0_
23220	23266	L0T23220M20L0_
23266	23313	L0T23266M20L0_
23313	23359	L0T23313M20L0_
23359	23406	L0T23359M20L0_
23406	23452	L0T23406M23L0_L1T23406M7L1_L2T23406M3L2_L3T23406M1L3_
23452	23499	L0T23452M24L0_
23499	23545	L0T23499M23L0_L1T23499M7L1_
23545	23591	L0T23545M24L0_
23591	23638	L0T23591M24L0_
23638	23684	L0T23638M24L0_
23684	23731	L0T23684M24L0_
23731	23777	L0T23731M24L0_
23777	23824	L0T23777M24L0_
23824	23870	L0T23824M24L0_
23870	23917	L0T23870M24L0_
23917	23963	L0T23917M24L0_
23963	24009	L0T23963M24L0_
24009	24056	L0T24009M25L0_L1T24009M4L1_L2T24009M2L2_
24056	24102	L0T24056M25L0_
24102	24149	L0T24102M2L0_L1T24102M4L1_
24149	24195	L0T24149M2L0_
24195	24242	L0T24195M2L0_
24242	24288	L0T24242M2L0_
24288	24335	L0T24288M2L0_
24335	24381	L0T24335M26L0_L1T24335M0L1_L2T24335M1L2_
24381	24427	L0T24381M26L0_
24427	24474	L0T24427M26L0_
24474	24520	L0T24474M26L0_
24520	24567	L0T24520M26L0_
24567	24613	L0T24567M26L0_
24613	24660	L0T24613M26L0_
24660	24706	L0T24660M26L0_
24706	24752	L0T24706M26L0_
24752	24799	L0T24752M26L0_
24799	24845	L0T24799M27L0_L1T24799M0L1_
24845	24892	L0T24845M27L0_
24892	24938	L0T24892M27L0_
24938	24985	L0T24938M27L0_
24985	25031	L0T24985M27L0_
25031	25078	L0T25031M27L0_
25078	25124	L0T25078M27L0_
25124	25170	L0T25124M27L0_
25170	25217	L0T25170M27L0_
25217	25263	L0T25217M28L0_L1T25217M6L1_L2T25217M1L2_
25263	25310	L0T25263M28L0_
25310	25356	L0T25310M13L0_L1T25310M6L1_
25356	25403	L0T25356M3L0_
25403	25449	L0T25403M28L0_L1T25403M6L1_
25449	25496	L0T25449M28L0_
25496	25542	L0T25496M13L0_L1T25496M6L1_
25542	25588	L0T25542M3L0_
25588	25635	L0T25588M28L0_L1T25588M6L1_
25635	25681	L0T25635M28L0_
25681	25728	L0T25681M13L0_L1T25681M6L1_
25728	25774	L0T25728M3L0_
25774	25821	L0T25774M2L0_L1T25774M6L1_
25821	25867	L0T25821M14L0_
25867	25913	L0T25867M3L0_L1T25867M6L1_
25913	25960	L0T25913M28L0_
25960	26006	L0T25960M28L0_
26006	26053	L0T26006M13L0_L1T26006M6L1_
26053	26099	L0T26053M3L0_
26099	26146	L0T26099M28L0_L1T26099M6L1_
26146	26192	L0T26146M28L0_
26192	26239	L0T26192M13L0_L1T26192M6L1_
26239	26285	L0T26239M3L0_
26285	26331	L0T26285M13L0_L1T26285M8L1_L2T26285M4L2_L3T26285M1L3_
26331	26378	L0T26331M17L0_
26378	26424	L0T26378M5L0_
26424	26471	L0T26424M29L0_
26471	26517	L0T26471M29L0_
26517	26564	L0T26517M29L0_
26564	26610	L0T26564M29L0_
26610	26657	L0T26610M29L0_
26657	26703	L0T26657M29L0_
26703	26749	L0T26703M29L0_
26749	26796	L0T26749M30L0_L1T26749M8L1_
26796	26842	L0T26796M30L0_
26842	26889	L0T26842M30L0_
26889	26935	L0T26889M30L0_
26935	26982	L0T26935M30L0_
26982	27028	L0T26982M30L0_
27028	27074	L0T27028M30L0_
27074	27121	L0T27074M30L0_
27121	27167	L0T27121M30L0_
27167	27214	L0T27167M31L0_L1T27167M0L1_L2T27167M1L2_
27214	27260	L0T27214M31L0_
27260	27307	L0T27260M31L0_
27307	27353	L0T27307M31L0_
27353	27400	L0T27353M31L0_
27400	27446	L0T27400M31L0_
27446	27492	L0T27446M31L0_
27492	27539	L0T27492M31L0_
27539	27585	L0T27539M31L0_
27585	27632	L0T27585M31L0_
27632	27678	L0T27632M30L0_L1T27632M8L1_
27678	27725	L0T27678M30L0_
27725	27771	L0T27725M30L0_
27771	27818	L0T27771M30L0_
27818	27864	L0T27818M30L0_
27864	27910	L0T27864M30L0_
27910	27957	L0T27910M30L0_
27957	28003	L0T27957M30L0_
28003	28050	L0T28003M30L0_
28050	28096	L0T28050M30L0_
28096	28143	L0T28096M30L0_
28143	28189	L0T28143M30L0_
28189	28235	L0T28189M30L0_
